,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
NXPH3,0.006228810022536398,0.007219455940847249,1.588535049335952,6489.0,259,False,True
SPOP,0.42754418843131564,0.8467039292715522,1.4004335218358688,10084.5,346,True,True
SLC35B1,0.04975843922525666,0.05601989054389632,1.253306520996974,12997.0,293,False,True
AC015795.1,0.005759301729380388,0.0063123996329145365,1.1657893311211165,12852.5,228,False,True
FAM117A,0.047371151025664464,0.06916101570555555,0.9979168556770369,17450.5,184,False,True
KAT7,0.18388776714773464,0.2683386023515502,1.1617568601272679,15042.0,334,False,True
AC027801.4,0.0025860218686529434,0.002630012751838256,0.881637031074824,11457.0,102,False,False
TAC4,0.009886503201599409,0.010953344998732751,0.7802939857259612,16511.0,54,False,False
FLJ45513,0.0028890907139705797,0.0029920362100371266,0.8432507568882902,12241.0,101,False,False
AC027801.1,0.014081770955471733,0.016601165854663483,0.7020082281137792,13918.0,53,False,False
AC027801.3,0.006761416255619194,0.0075165999266568854,0.6401119501484208,12493.0,43,False,False
DLX4,0.0010711744762374152,0.00112865405460566,0.484872835695404,13722.0,35,False,False
DLX3,0.00026183160898753143,0.00027368720931687053,0.4321486994137922,11638.5,60,False,False
AC009720.1,0.0007517101032222677,0.0007839364800244339,0.8096740123893578,10276.0,105,False,False
PICART1,0.004543051674728629,0.034195353473081135,0.7902651512071328,12310.0,78,False,False
ITGA3,0.10916937275679371,0.16819743689291447,0.7761807954335869,15822.5,32,False,False
AC002401.4,0.00017091095539224064,0.00017386283625447764,0.3701377824960244,14250.0,44,False,False
PDK2,0.055395519748164694,0.06449833174650468,1.2977431184189736,11686.0,263,False,True
AC002401.3,0.0001028446737389355,0.00010382781664253037,0.279556854458081,14355.0,39,False,False
AC002401.2,0.0002270532169019011,0.00023197012071579556,0.41251457596303837,15709.0,45,False,False
SAMD14,0.026186638737961707,0.029855168211730884,1.085541155180403,14141.0,189,False,True
PPP1R9B,0.027788928944763962,0.029977850935860303,1.6186375258371115,7823.5,302,False,True
AC002401.1,0.0010806143255178006,0.0011072698619953084,0.8404949322151459,11517.5,108,False,False
AC015909.2,0.006354509068217319,0.0069202704115831765,1.0348126277144756,13269.0,168,False,True
AC015909.3,0.0006478717611380285,0.0006722940659704053,1.2434690277686198,8888.0,217,False,True
SGCA,0.0010821048280357562,0.0011773202916043192,1.6238419671912088,5811.0,249,False,True
COL1A1,0.0015779453323423148,0.0046051524936984,1.633531663771814,5545.0,246,False,True
AC015909.1,8.545547769612032e-05,8.644188635003862e-05,0.33178123265880505,12943.5,52,False,False
AC015909.4,4.968341726518623e-06,4.968319510530026e-06,0.016418940781421126,11577.5,2,False,False
TMEM92,0.00021065768920438963,0.00021458809253827992,0.5443945931030102,10766.0,81,False,False
TMEM92-AS1,0.0017816473431295783,0.0018957268824820069,1.1184097640200623,11593.0,206,False,True
XYLT2,0.03228229720222741,0.03538873341354363,1.2300012386969,13735.5,324,False,True
MRPL27,0.05695756638698215,0.06702859114734859,1.2363341126305425,13404.0,298,False,True
EME1,0.0010811111596904525,0.0011147213042681273,1.6748040658528847,5735.5,282,False,True
LRRC59,0.027513682813114834,0.029676092413798757,1.3872473797947362,11596.5,326,False,True
AC004707.1,5.962010071822348e-06,5.961977488372404e-06,0.022167870538199307,17771.5,2,False,False
ACSF2,0.016122765736725584,0.020233979265642507,2.9630193363127626,2165.5,344,False,True
CHAD,0.0030257201114498415,0.0032113257204333594,1.2620379313271701,10557.0,208,False,True
AC021491.4,0.00015600593021268476,0.00015598166985944718,0.4782176470302766,12396.0,73,False,False
RSAD1,0.056849256537344045,0.06580777452426592,1.1177294390159518,16143.0,297,False,True
AC021491.1,0.0014969613622000612,0.0015662653679160627,0.8626668986176582,11193.0,100,False,False
MYCBPAP,0.013821429849002158,0.015279894970701716,1.0453322089625054,14647.5,182,False,True
AC021491.2,0.0034977125754691108,0.0036404926527967437,1.0188809261063692,12063.0,155,False,False
EPN3,0.002177127344560461,0.0022936161387599437,0.8739422062518963,9190.5,114,False,False
SPATA20,0.0207155008287194,0.022059084141857758,1.3235800886383864,10709.0,287,False,True
CACNA1G-AS1,0.0007551879424308308,0.0007754850541413078,0.6780864586633223,9639.0,84,False,False
CACNA1G,0.08742095368313109,0.1404281414338913,0.8298981368175435,17399.0,59,False,False
AC021491.3,2.3848040287289393e-05,2.384748340650854e-05,0.06916202499320798,11562.0,6,False,False
AC004590.1,0.00034480291582039246,0.00035362721757145203,0.33314993534322473,14344.0,23,False,False
ABCC3,0.015223992718398366,0.022220177347580902,1.0394234678741192,13429.0,173,False,True
ANKRD40,0.0845969482457779,0.09931198788353592,1.304090651236872,12302.0,341,False,True
AC005921.2,0.006567154094112316,0.006845978526410207,1.3551439816011428,9937.5,264,False,True
LUC7L3,0.9872850198534935,2.303575070532614,1.4178650566435096,11175.0,346,True,True
ANKRD40CL,0.0011357629186821573,0.0018389847317654509,0.792086526170154,10649.5,100,False,False
AC005921.4,0.0019083400571558032,0.0021252937239578528,0.9506295128604094,8551.0,123,False,False
WFIKKN2,0.0003855433179778452,0.00040328090490700626,0.7940313840392034,11746.0,125,False,False
AC091062.1,1.093035179834097e-05,1.0930237756266174e-05,0.06255753586599692,13659.0,13,False,False
TOB1,0.09946073618900367,0.13340404347834678,1.7138754605373823,7081.5,338,False,True
TOB1-AS1,0.051884392650033986,0.06731197816895648,1.2763085505462406,12787.0,323,False,True
AC005920.4,4.918658309253437e-05,5.017785704795584e-05,0.12313710051785058,16177.0,11,False,False
AC005920.1,0.003931448808194187,0.004232974823701146,1.9309080474992897,4594.0,317,False,True
AC005920.3,0.0001833318097085372,0.0001862792967419185,0.48952702470771503,13487.0,76,False,False
SPAG9,1.3119750946965933,3.6771195958522673,1.66021438709939,7061.0,346,True,True
AC005920.2,0.04865546736196953,0.06471572447445709,0.9733497899977193,16637.0,144,False,False
NME1,0.06598504330406649,0.086418117173425,1.4308666969831938,9303.0,247,False,True
NME2,0.12699230503233397,0.20314535231608621,1.5085723277197332,8596.0,289,False,True
MBTD1,0.5022566208121848,1.0121559237509503,1.3624701162954576,10644.0,345,False,True
AC006141.1,0.0415383178387316,0.04707066297024576,1.4680580869536568,9355.0,339,False,True
UTP18,0.15122439813508326,0.21844265392687084,1.1537256076187874,15730.0,328,False,True
LINC02071,0.0022064405607469207,0.00250662960818635,0.8831035012887686,9660.0,98,False,False
AC005823.2,8.992698524998708e-05,9.091261190110672e-05,0.145348698655845,16392.0,7,False,False
AC005823.1,4.6205578056623194e-05,4.719713489563278e-05,0.0986087882352198,12670.0,11,False,False
LINC02073,0.10058258775085158,0.3230409231871124,3.1954454087217243,1821.0,346,True,True
CA10,1.8590754710981625,34.87483422475541,5.665136229456563,521.0,346,True,True
LINC01982,0.006393262133684165,0.01951750993687443,1.6194223981090756,7167.5,308,False,True
LINC02089,0.00021612286510356012,0.00022402561407674877,0.5379289818998962,11281.5,82,False,False
C17orf112,7.452512589777935e-06,7.452460752471208e-06,0.028844900345091264,15675.5,4,False,False
AC034268.2,1.536385650634159,58.88739759463325,6.335638375037302,396.5,346,True,True
KIF2B,0.0005639067859598638,0.0005884307960817302,0.33574310516797967,13428.5,22,False,False
AC015943.1,0.1994193002190045,1.5572982150616703,1.6334423501196547,7043.0,273,False,True
TOM1L1,0.22053375888836335,0.5927750915907648,0.8503711466612642,17706.0,51,False,False
COX11,0.2146005651985548,0.32286898539434894,1.0213156641977612,17915.5,218,False,True
AC007485.1,0.00023400889531902715,0.00023594158907039073,0.31656348939156825,13504.0,20,False,False
STXBP4,0.2576497557563207,0.5346913225946153,1.6328874055472777,6906.0,346,True,True
HLF,0.3422586280222423,0.9411495747774761,1.4577186035835992,10111.0,313,False,True
AC007638.2,0.0014691386485315568,0.0015236201328318153,0.6267110523520745,14419.0,60,False,False
AC007638.1,0.0004779544740910916,0.000487662959352452,0.5966567872246489,11981.5,70,False,False
MMD,0.1073002825992774,0.17322657317260323,1.3947056555352355,11354.0,287,False,True
